CustomerID,CustomerName,Segment,Tier,FirstPurchaseDate,LastPurchaseDate,TotalPurchaseValue,NumberOfOrders,AvgOrderValue,PreferredChannel,Region,Country
C1018,Retail_Customer_1018,Retail,Bronze,2022-06-06,2023-10-06,4149.4,5,829.88,Retail Store,North America,USA
C1019,SMB_Customer_1019,SMB,Bronze,2022-05-30,2024-06-16,1933.4,3,644.47,Corporate,Asia Pacific,Australia
C1020,Retail_Customer_1020,Retail,Silver,2022-09-27,2024-09-08,5200.26,6,866.71,Online,Asia Pacific,USA
C1021,Enterprise_Customer_1021,Enterprise,Bronze,2022-11-27,2024-10-15,1267.57,4,316.89,Distributor,Europe,Australia
C1022,SMB_Customer_1022,SMB,Bronze,2022-03-15,2022-03-15,143.91,1,143.91,Corporate,Asia Pacific,Australia
C1023,SMB_Customer_1023,SMB,Bronze,2022-02-03,2024-07-13,1986.17,6,331.03,Online,Asia Pacific,Japan
C1024,SMB_Customer_1024,SMB,Bronze,2023-05-24,2023-05-24,289.32,1,289.32,Retail Store,North America,Mexico
C1025,Government_Customer_1025,Government,Bronze,2022-01-26,2024-11-09,2077.09,6,346.18,Online,North America,Mexico
C1026,SMB_Customer_1026,SMB,Bronze,2022-03-16,2024-06-20,4122.0,6,687.0,Online,Europe,Italy
C1027,Enterprise_Customer_1027,Enterprise,Bronze,2022-09-13,2023-02-02,381.36,3,127.12,Retail Store,North America,USA
C1028,SMB_Customer_1028,SMB,Bronze,2022-04-27,2024-02-16,806.43,4,201.61,Online,Europe,China
C1029,Enterprise_Customer_1029,Enterprise,Bronze,2022-06-23,2023-10-02,1868.51,3,622.84,Online,North America,USA
C1030,Retail_Customer_1030,Retail,Bronze,2022-01-02,2024-09-02,3882.53,7,554.65,Online,Europe,Canada
C1031,Retail_Customer_1031,Retail,Bronze,2022-11-03,2023-05-26,1425.22,4,356.3,Online,Europe,Canada
C1032,Retail_Customer_1032,Retail,Bronze,2022-04-02,2024-06-25,4552.7,5,910.54,Corporate,Europe,China
C1033,Retail_Customer_1033,Retail,Bronze,2022-06-15,2024-12-23,3512.89,4,878.22,Online,Europe,France
C1034,SMB_Customer_1034,SMB,Bronze,2023-01-03,2024-05-10,777.49,3,259.16,Corporate,North America,Canada
C1035,Retail_Customer_1035,Retail,Bronze,2022-11-19,2023-06-09,1191.75,4,297.94,Online,North America,Canada
C1036,Government_Customer_1036,Government,Bronze,2022-01-27,2024-09-18,2678.03,7,382.58,Online,North America,Canada
C1037,SMB_Customer_1037,SMB,Bronze,2022-03-05,2024-05-26,2303.24,5,460.65,Online,Asia Pacific,Australia
C1038,Enterprise_Customer_1038,Enterprise,Silver,2022-05-28,2024-08-23,5202.3,5,1040.46,Retail Store,Europe,France
C1039,Retail_Customer_1039,Retail,Silver,2022-03-04,2024-04-03,5507.35,8,688.42,Retail Store,North America,Canada
C1040,Retail_Customer_1040,Retail,Bronze,2023-04-04,2024-12-29,3278.86,4,819.72,Online,North America,Canada
C1041,Retail_Customer_1041,Retail,Silver,2023-02-19,2024-10-05,6288.39,6,1048.06,Corporate,North America,USA
C1042,SMB_Customer_1042,SMB,Bronze,2023-03-07,2024-08-02,2906.28,5,581.26,Corporate,Europe,Australia
C1043,Retail_Customer_1043,Retail,Bronze,2024-02-19,2024-10-02,1920.14,3,640.05,Online,North America,Canada
C1044,SMB_Customer_1044,SMB,Silver,2022-08-15,2024-09-23,11027.31,5,2205.46,Retail Store,North America,Canada
C1045,Retail_Customer_1045,Retail,Silver,2023-08-30,2023-11-17,6031.29,2,3015.64,Online,North America,Mexico
C1046,SMB_Customer_1046,SMB,Silver,2022-10-05,2024-10-02,12635.28,9,1403.92,Corporate,North America,Germany
C1047,Retail_Customer_1047,Retail,Bronze,2022-06-22,2024-05-02,1350.76,3,450.25,Distributor,Europe,Germany
C1048,Retail_Customer_1048,Retail,Bronze,2022-01-16,2024-05-28,781.84,3,260.61,Distributor,North America,Mexico
C1049,SMB_Customer_1049,SMB,Bronze,2022-03-08,2024-10-15,215.07,3,71.69,Retail Store,North America,Canada
C1050,Retail_Customer_1050,Retail,Bronze,2023-02-10,2024-06-29,2128.34,4,532.08,Corporate,Europe,France
C1051,Retail_Customer_1051,Retail,Bronze,2022-03-23,2022-10-08,4101.37,3,1367.12,Online,North America,Mexico
C1052,Retail_Customer_1052,Retail,Bronze,2022-02-12,2023-08-17,1159.99,5,232.0,Online,North America,Mexico
C1053,Retail_Customer_1053,Retail,Silver,2022-08-12,2024-11-22,5341.64,6,890.27,Online,North America,USA
C1054,Retail_Customer_1054,Retail,Bronze,2023-06-13,2024-11-20,1215.53,3,405.18,Retail Store,North America,Canada
C1055,Enterprise_Customer_1055,Enterprise,Silver,2023-02-25,2023-09-29,6352.79,2,3176.4,Distributor,Europe,Spain
C1056,Enterprise_Customer_1056,Enterprise,Bronze,2022-11-12,2024-09-27,1518.84,3,506.28,Online,Europe,Canada
C1057,SMB_Customer_1057,SMB,Bronze,2022-07-16,2023-11-12,3432.84,5,686.57,Online,Europe,Canada
C1058,Retail_Customer_1058,Retail,Silver,2022-02-28,2024-03-24,6397.53,6,1066.25,Online,Europe,Germany
C1059,Retail_Customer_1059,Retail,Silver,2022-05-09,2024-11-15,15181.73,8,1897.72,Online,Asia Pacific,USA
C1060,Retail_Customer_1060,Retail,Silver,2022-06-14,2024-12-30,9465.61,13,728.12,Online,North America,Canada
C1061,Retail_Customer_1061,Retail,Bronze,2022-06-12,2024-04-13,2709.54,6,451.59,Online,Asia Pacific,Japan
C1062,Retail_Customer_1062,Retail,Bronze,2022-04-02,2024-11-30,1909.0,6,318.17,Retail Store,North America,Japan
C1063,Enterprise_Customer_1063,Enterprise,Bronze,2022-01-08,2024-05-15,1424.55,6,237.43,Distributor,North America,USA
C1064,Retail_Customer_1064,Retail,Bronze,2023-06-16,2024-02-21,2307.21,2,1153.6,Distributor,Europe,Spain
C1065,Retail_Customer_1065,Retail,Silver,2022-05-18,2024-06-18,6177.35,6,1029.56,Online,Europe,UK
C1066,Retail_Customer_1066,Retail,Bronze,2022-11-28,2024-12-30,4670.76,5,934.15,Online,Europe,Australia
C1067,Retail_Customer_1067,Retail,Bronze,2022-06-23,2024-11-13,4928.61,6,821.44,Corporate,North America,Canada
C1068,Retail_Customer_1068,Retail,Bronze,2022-01-24,2024-01-31,1633.91,2,816.96,Online,North America,Canada
C1069,Retail_Customer_1069,Retail,Silver,2022-10-05,2024-06-08,5833.86,7,833.41,Online,North America,Canada
C1070,Retail_Customer_1070,Retail,Bronze,2022-03-23,2024-03-13,2756.38,7,393.77,Retail Store,Europe,Canada
C1071,SMB_Customer_1071,SMB,Bronze,2022-03-14,2024-12-15,2775.56,7,396.51,Corporate,Europe,Germany
C1072,Retail_Customer_1072,Retail,Bronze,2023-01-30,2023-08-01,803.11,3,267.7,Corporate,Asia Pacific,Germany
C1073,Retail_Customer_1073,Retail,Bronze,2023-12-24,2024-05-12,432.24,2,216.12,Online,Europe,Mexico
C1074,Retail_Customer_1074,Retail,Bronze,2022-03-30,2024-10-02,1204.13,4,301.03,Retail Store,Europe,Spain
C1075,SMB_Customer_1075,SMB,Silver,2022-10-06,2024-12-22,7745.43,5,1549.09,Online,Europe,Australia
C1076,Retail_Customer_1076,Retail,Bronze,2022-05-25,2024-02-21,1438.09,5,287.62,Online,North America,USA
C1077,Retail_Customer_1077,Retail,Bronze,2022-04-01,2024-04-27,1160.3,3,386.77,Online,Asia Pacific,Italy
C1078,SMB_Customer_1078,SMB,Bronze,2022-02-23,2024-12-08,3518.05,6,586.34,Corporate,Europe,Germany
C1079,Retail_Customer_1079,Retail,Bronze,2022-05-08,2024-05-15,4659.04,5,931.81,Online,Europe,Italy
C1080,Enterprise_Customer_1080,Enterprise,Bronze,2022-10-23,2024-03-18,2452.53,6,408.75,Online,North America,Canada
C1081,SMB_Customer_1081,SMB,Bronze,2022-04-01,2023-09-24,4210.92,3,1403.64,Online,North America,Australia
C1082,SMB_Customer_1082,SMB,Bronze,2023-08-16,2023-08-16,35.08,1,35.08,Online,North America,USA
C1083,Retail_Customer_1083,Retail,Bronze,2024-05-05,2024-11-15,608.06,2,304.03,Distributor,Europe,Canada
C1084,Retail_Customer_1084,Retail,Bronze,2023-02-07,2024-11-30,1129.59,6,188.26,Online,North America,Canada
C1085,Retail_Customer_1085,Retail,Bronze,2022-08-05,2024-06-20,860.19,4,215.05,Corporate,Europe,France
C1086,Retail_Customer_1086,Retail,Bronze,2022-07-05,2024-08-08,2747.0,6,457.83,Online,Europe,Canada
C1087,Retail_Customer_1087,Retail,Bronze,2022-02-12,2024-07-11,4697.12,7,671.02,Corporate,North America,Mexico
C1088,SMB_Customer_1088,SMB,Bronze,2022-03-26,2024-09-14,610.06,2,305.03,Online,North America,Mexico
C1089,Retail_Customer_1089,Retail,Bronze,2023-05-06,2024-08-07,3575.47,4,893.87,Online,North America,Canada
C1090,Enterprise_Customer_1090,Enterprise,Bronze,2022-11-04,2024-05-31,2877.94,4,719.48,Retail Store,Europe,Australia
C1091,SMB_Customer_1091,SMB,Silver,2022-02-14,2024-10-16,6139.18,7,877.03,Online,Asia Pacific,China
C1092,SMB_Customer_1092,SMB,Silver,2022-03-02,2023-12-20,8269.35,11,751.76,Online,Europe,Australia
C1093,Retail_Customer_1093,Retail,Bronze,2023-02-12,2024-07-10,1857.2,4,464.3,Corporate,North America,Canada
C1094,Retail_Customer_1094,Retail,Silver,2022-08-05,2024-10-09,7053.94,7,1007.71,Online,Asia Pacific,Australia
C1095,SMB_Customer_1095,SMB,Silver,2022-10-19,2023-08-07,6579.74,4,1644.94,Retail Store,North America,Australia
C1096,Retail_Customer_1096,Retail,Bronze,2022-03-28,2023-12-17,1855.17,3,618.39,Corporate,North America,China
C1097,Retail_Customer_1097,Retail,Bronze,2022-02-08,2024-08-18,4558.29,5,911.66,Distributor,North America,Canada
C1098,SMB_Customer_1098,SMB,Bronze,2022-03-26,2024-02-04,2002.92,4,500.73,Retail Store,Asia Pacific,Australia
C1099,SMB_Customer_1099,SMB,Silver,2022-06-01,2024-08-06,5918.95,6,986.49,Online,Asia Pacific,China
C1100,Enterprise_Customer_1100,Enterprise,Bronze,2022-03-31,2023-12-15,1153.01,3,384.34,Online,Europe,France
C1101,Retail_Customer_1101,Retail,Bronze,2023-01-09,2023-04-21,3350.02,2,1675.01,Corporate,Asia Pacific,Japan
C1102,Retail_Customer_1102,Retail,Silver,2022-05-28,2024-03-26,5349.92,4,1337.48,Online,Asia Pacific,Canada
C1103,Retail_Customer_1103,Retail,Bronze,2024-01-23,2024-05-21,686.53,3,228.84,Retail Store,Asia Pacific,Italy
C1104,Enterprise_Customer_1104,Enterprise,Bronze,2023-10-20,2024-02-05,2461.16,3,820.39,Online,North America,Canada
C1105,Retail_Customer_1105,Retail,Bronze,2022-11-24,2024-09-25,4203.82,3,1401.27,Corporate,North America,Australia
C1106,Retail_Customer_1106,Retail,Bronze,2022-08-23,2024-03-06,3846.63,5,769.33,Retail Store,North America,Canada
C1107,Retail_Customer_1107,Retail,Bronze,2022-09-02,2023-08-08,2770.88,3,923.63,Online,Europe,France
C1108,SMB_Customer_1108,SMB,Silver,2022-04-25,2024-10-13,8563.37,4,2140.84,Online,Europe,UK
C1109,Retail_Customer_1109,Retail,Bronze,2022-11-11,2024-08-15,3741.32,3,1247.11,Retail Store,Asia Pacific,Australia
C1110,SMB_Customer_1110,SMB,Bronze,2023-05-01,2024-05-20,650.95,5,130.19,Online,North America,Mexico
C1111,Government_Customer_1111,Government,Bronze,2023-09-11,2024-12-03,2909.7,6,484.95,Corporate,North America,Mexico
C1112,Retail_Customer_1112,Retail,Bronze,2022-09-13,2024-03-30,796.56,3,265.52,Retail Store,Europe,Spain
C1113,Retail_Customer_1113,Retail,Bronze,2023-01-01,2024-05-03,3903.22,4,975.8,Corporate,Europe,UK
C1114,Retail_Customer_1114,Retail,Silver,2023-02-05,2024-04-11,6866.46,4,1716.61,Online,North America,USA
C1115,SMB_Customer_1115,SMB,Bronze,2022-01-22,2024-07-09,1259.7,4,314.92,Online,North America,Mexico
C1116,Retail_Customer_1116,Retail,Bronze,2022-11-24,2024-01-19,631.08,2,315.54,Corporate,Asia Pacific,Japan
C1117,SMB_Customer_1117,SMB,Bronze,2022-09-25,2024-10-10,1804.83,5,360.97,Online,Europe,Italy
C1118,SMB_Customer_1118,SMB,Bronze,2023-08-15,2024-03-31,2023.9,2,1011.95,Online,North America,Mexico
C1119,Retail_Customer_1119,Retail,Bronze,2023-02-12,2023-02-12,3415.56,1,3415.56,Online,Europe,Italy
C1120,Retail_Customer_1120,Retail,Bronze,2023-06-03,2023-11-28,3787.5,3,1262.5,Corporate,Europe,France
C1121,Retail_Customer_1121,Retail,Silver,2022-04-18,2023-09-23,10702.56,5,2140.51,Online,North America,Canada
C1122,Enterprise_Customer_1122,Enterprise,Bronze,2022-04-16,2024-01-20,1704.5,3,568.17,Corporate,North America,Canada
C1123,Government_Customer_1123,Government,Bronze,2022-05-08,2024-08-25,992.4,4,248.1,Corporate,Asia Pacific,Australia
C1124,Retail_Customer_1124,Retail,Bronze,2023-11-17,2024-08-26,1696.94,4,424.24,Online,Europe,Canada
C1125,Retail_Customer_1125,Retail,Bronze,2022-07-29,2024-08-26,871.72,4,217.93,Distributor,North America,Canada
C1126,Retail_Customer_1126,Retail,Bronze,2022-02-27,2024-09-05,1277.27,5,255.45,Online,Asia Pacific,Australia
C1127,SMB_Customer_1127,SMB,Bronze,2022-05-24,2024-07-11,1181.85,6,196.98,Distributor,North America,USA
C1128,SMB_Customer_1128,SMB,Silver,2022-11-20,2024-11-01,6355.24,5,1271.05,Online,North America,Canada
C1129,Government_Customer_1129,Government,Bronze,2024-07-23,2024-10-11,4109.23,2,2054.62,Retail Store,Europe,France
C1130,SMB_Customer_1130,SMB,Bronze,2022-08-11,2024-04-24,376.73,3,125.58,Distributor,North America,Italy
C1131,SMB_Customer_1131,SMB,Bronze,2022-03-11,2024-04-10,2264.79,3,754.93,Distributor,Asia Pacific,Germany
C1132,Retail_Customer_1132,Retail,Bronze,2022-01-14,2024-09-22,868.68,3,289.56,Distributor,Europe,Italy
C1133,Retail_Customer_1133,Retail,Bronze,2022-07-17,2024-05-01,1784.85,3,594.95,Distributor,Europe,China
C1134,Retail_Customer_1134,Retail,Bronze,2022-03-27,2024-11-26,3390.58,8,423.82,Online,Europe,Canada
C1135,Enterprise_Customer_1135,Enterprise,Bronze,2022-10-02,2024-09-28,2197.44,5,439.49,Online,North America,Mexico
C1136,Enterprise_Customer_1136,Enterprise,Bronze,2022-12-18,2024-10-08,2052.82,4,513.2,Retail Store,Europe,France
C1137,Retail_Customer_1137,Retail,Silver,2022-05-01,2024-10-06,5174.57,6,862.43,Corporate,North America,Canada
C1138,Retail_Customer_1138,Retail,Silver,2022-09-30,2023-11-29,5414.34,2,2707.17,Online,Europe,Canada
C1139,SMB_Customer_1139,SMB,Bronze,2023-04-26,2024-12-19,1708.24,4,427.06,Online,North America,Canada
C1140,Retail_Customer_1140,Retail,Silver,2022-01-16,2024-08-20,5652.93,8,706.62,Corporate,North America,Canada
C1141,SMB_Customer_1141,SMB,Bronze,2022-05-07,2023-10-19,2061.09,3,687.03,Distributor,North America,Italy
C1142,Enterprise_Customer_1142,Enterprise,Bronze,2023-02-04,2024-05-24,1886.18,2,943.09,Corporate,Europe,Spain
C1143,SMB_Customer_1143,SMB,Silver,2022-08-27,2024-11-09,6927.0,7,989.57,Online,North America,Australia
C1144,Enterprise_Customer_1144,Enterprise,Silver,2022-06-30,2024-09-22,11332.15,9,1259.13,Retail Store,Asia Pacific,Australia
C1145,Retail_Customer_1145,Retail,Bronze,2022-12-31,2024-10-13,3003.91,4,750.98,Online,Asia Pacific,Australia
C1146,SMB_Customer_1146,SMB,Bronze,2022-02-22,2023-11-18,3113.07,6,518.84,Online,Asia Pacific,Canada
C1147,Retail_Customer_1147,Retail,Silver,2023-02-06,2024-08-07,5329.43,4,1332.36,Online,North America,Canada
C1148,SMB_Customer_1148,SMB,Bronze,2022-06-25,2024-09-27,1815.45,3,605.15,Online,Asia Pacific,China
C1149,Retail_Customer_1149,Retail,Bronze,2022-03-15,2023-11-19,1048.16,4,262.04,Online,Europe,Canada
C1150,Retail_Customer_1150,Retail,Bronze,2022-01-14,2024-06-17,3245.86,4,811.46,Retail Store,Europe,Canada
C1151,Retail_Customer_1151,Retail,Bronze,2024-03-23,2024-03-23,477.8,1,477.8,Online,North America,Canada
C1152,Retail_Customer_1152,Retail,Bronze,2022-02-04,2023-09-06,2807.8,6,467.97,Corporate,Europe,Canada
C1153,SMB_Customer_1153,SMB,Bronze,2022-02-01,2024-05-08,2959.01,4,739.75,Online,Europe,Spain
C1154,Retail_Customer_1154,Retail,Silver,2022-12-01,2024-04-24,8612.23,7,1230.32,Online,North America,France
C1155,Retail_Customer_1155,Retail,Bronze,2023-11-20,2024-03-23,571.56,2,285.78,Retail Store,Asia Pacific,Canada
C1156,Enterprise_Customer_1156,Enterprise,Bronze,2022-12-09,2024-02-08,1441.43,3,480.48,Corporate,Asia Pacific,Australia
C1157,SMB_Customer_1157,SMB,Bronze,2022-11-17,2024-06-01,4213.38,4,1053.34,Retail Store,North America,Canada
C1158,Retail_Customer_1158,Retail,Bronze,2022-02-05,2024-02-28,1255.79,4,313.95,Retail Store,North America,Mexico
C1159,Retail_Customer_1159,Retail,Bronze,2023-07-20,2024-09-12,2842.52,5,568.5,Retail Store,North America,Canada
C1160,Retail_Customer_1160,Retail,Bronze,2024-03-30,2024-11-06,4384.72,4,1096.18,Retail Store,Asia Pacific,China
C1161,Retail_Customer_1161,Retail,Bronze,2022-04-08,2024-03-26,2942.09,9,326.9,Corporate,North America,Canada
C1162,SMB_Customer_1162,SMB,Bronze,2022-01-05,2024-02-20,933.43,5,186.69,Online,Europe,Canada
C1163,Retail_Customer_1163,Retail,Bronze,2022-05-09,2023-11-05,2812.32,6,468.72,Online,Asia Pacific,Australia
C1164,Retail_Customer_1164,Retail,Bronze,2022-03-17,2023-10-19,3007.98,4,751.99,Corporate,Europe,Canada
C1165,Enterprise_Customer_1165,Enterprise,Bronze,2024-02-06,2024-10-17,2017.8,4,504.45,Online,North America,Mexico
C1166,Retail_Customer_1166,Retail,Bronze,2022-10-18,2024-04-27,2761.61,4,690.4,Retail Store,Europe,Canada
C1167,Retail_Customer_1167,Retail,Bronze,2023-08-09,2024-11-22,1140.61,3,380.2,Online,North America,USA
C1168,SMB_Customer_1168,SMB,Silver,2022-03-01,2024-06-23,5101.92,4,1275.48,Online,Europe,Canada
C1169,SMB_Customer_1169,SMB,Silver,2022-04-22,2024-05-14,5929.6,6,988.27,Distributor,Asia Pacific,China
C1170,Retail_Customer_1170,Retail,Bronze,2022-10-26,2024-07-04,1625.9,3,541.97,Online,Asia Pacific,Canada
C1171,Enterprise_Customer_1171,Enterprise,Bronze,2022-02-26,2024-06-29,3499.28,6,583.21,Retail Store,North America,Canada
C1172,Enterprise_Customer_1172,Enterprise,Bronze,2024-02-26,2024-03-26,2643.76,2,1321.88,Corporate,Asia Pacific,Canada
C1173,SMB_Customer_1173,SMB,Bronze,2023-09-17,2024-11-12,1815.69,3,605.23,Online,Asia Pacific,Japan
C1174,Retail_Customer_1174,Retail,Silver,2024-01-13,2024-08-09,5212.94,3,1737.65,Online,North America,Canada
C1175,Government_Customer_1175,Government,Bronze,2023-12-20,2024-08-24,558.36,2,279.18,Online,Europe,Mexico
C1176,SMB_Customer_1176,SMB,Bronze,2022-07-15,2024-04-22,3001.08,3,1000.36,Distributor,North America,USA
C1177,SMB_Customer_1177,SMB,Bronze,2023-07-24,2024-05-27,684.42,3,228.14,Corporate,Europe,China
C1178,Retail_Customer_1178,Retail,Bronze,2022-03-05,2024-10-19,1753.38,6,292.23,Online,Asia Pacific,China
C1179,SMB_Customer_1179,SMB,Bronze,2022-11-20,2024-11-14,1951.82,3,650.61,Online,North America,Mexico
C1180,Retail_Customer_1180,Retail,Silver,2022-07-17,2024-12-29,8522.17,6,1420.36,Online,North America,Canada
C1181,Retail_Customer_1181,Retail,Bronze,2022-09-04,2022-12-31,212.98,2,106.49,Online,Asia Pacific,China
C1182,Retail_Customer_1182,Retail,Bronze,2022-03-31,2024-02-23,2573.42,3,857.81,Retail Store,Europe,France
C1183,Retail_Customer_1183,Retail,Bronze,2024-02-26,2024-12-21,875.42,3,291.81,Distributor,Asia Pacific,Canada
C1184,SMB_Customer_1184,SMB,Silver,2022-07-15,2024-10-22,10083.22,7,1440.46,Retail Store,North America,Canada
C1185,Enterprise_Customer_1185,Enterprise,Bronze,2023-10-11,2024-03-27,516.88,2,258.44,Corporate,Europe,Germany
C1186,SMB_Customer_1186,SMB,Bronze,2022-05-19,2022-12-04,1223.9,4,305.98,Online,North America,USA
C1187,Retail_Customer_1187,Retail,Bronze,2022-06-22,2024-12-19,4648.72,6,774.79,Retail Store,Europe,France
C1188,SMB_Customer_1188,SMB,Bronze,2023-04-30,2024-11-17,2967.58,7,423.94,Online,North America,Mexico
C1189,Enterprise_Customer_1189,Enterprise,Bronze,2022-06-12,2024-03-12,2019.81,6,336.64,Online,Europe,UK
C1190,Retail_Customer_1190,Retail,Bronze,2022-03-08,2024-08-01,1615.76,5,323.15,Online,North America,Canada
C1191,Retail_Customer_1191,Retail,Bronze,2023-09-16,2024-05-08,320.7,2,160.35,Corporate,North America,USA
C1192,SMB_Customer_1192,SMB,Bronze,2022-04-18,2024-10-14,4771.99,7,681.71,Retail Store,North America,Mexico
C1193,Retail_Customer_1193,Retail,Bronze,2022-11-19,2024-10-31,1052.06,3,350.69,Online,Asia Pacific,Australia
C1194,Retail_Customer_1194,Retail,Bronze,2022-02-15,2023-11-18,1035.86,3,345.29,Online,North America,Mexico
C1195,Retail_Customer_1195,Retail,Bronze,2022-09-20,2024-12-29,2433.43,4,608.36,Online,Asia Pacific,Canada
C1196,Retail_Customer_1196,Retail,Silver,2022-03-17,2024-10-07,6203.15,7,886.16,Online,Europe,Canada
C1197,Retail_Customer_1197,Retail,Bronze,2024-04-15,2024-11-30,1212.39,3,404.13,Online,North America,Canada
C1198,Government_Customer_1198,Government,Bronze,2022-10-31,2024-04-24,2091.43,2,1045.72,Distributor,Europe,Spain
C1199,Retail_Customer_1199,Retail,Bronze,2022-04-13,2024-02-02,1093.44,2,546.72,Distributor,Europe,Italy
C1200,Retail_Customer_1200,Retail,Bronze,2022-09-21,2024-07-12,4240.74,3,1413.58,Corporate,North America,Canada
C1201,Retail_Customer_1201,Retail,Silver,2022-01-11,2024-04-23,9869.06,4,2467.26,Online,North America,USA
C1202,Retail_Customer_1202,Retail,Bronze,2022-02-09,2024-12-11,4057.24,7,579.61,Online,North America,Canada
C1203,Government_Customer_1203,Government,Silver,2022-06-13,2024-12-26,9083.56,5,1816.71,Online,Asia Pacific,Canada
C1204,SMB_Customer_1204,SMB,Bronze,2022-09-29,2024-02-03,2242.05,4,560.51,Online,Europe,Australia
C1205,Retail_Customer_1205,Retail,Bronze,2023-09-25,2023-09-25,3027.39,1,3027.39,Online,North America,USA
C1206,SMB_Customer_1206,SMB,Silver,2022-07-21,2024-03-26,9698.91,4,2424.73,Distributor,North America,Canada
C1207,Enterprise_Customer_1207,Enterprise,Bronze,2022-04-07,2024-09-24,3211.38,4,802.84,Retail Store,Europe,Mexico
C1208,SMB_Customer_1208,SMB,Bronze,2022-07-06,2023-09-21,892.89,2,446.44,Online,Europe,France
C1209,Retail_Customer_1209,Retail,Bronze,2022-06-09,2022-06-09,325.96,1,325.96,Corporate,North America,Canada
C1210,SMB_Customer_1210,SMB,Bronze,2022-01-24,2024-01-20,2140.54,3,713.51,Online,North America,USA
C1211,Enterprise_Customer_1211,Enterprise,Bronze,2022-09-18,2024-11-19,2793.29,7,399.04,Online,North America,USA
C1212,SMB_Customer_1212,SMB,Bronze,2022-06-03,2024-11-15,2164.43,5,432.89,Online,Europe,UK
C1213,Enterprise_Customer_1213,Enterprise,Bronze,2022-11-22,2023-08-30,1980.91,4,495.23,Retail Store,Europe,China
C1214,Retail_Customer_1214,Retail,Bronze,2022-01-08,2023-09-29,4079.98,6,680.0,Online,North America,Mexico
C1215,Retail_Customer_1215,Retail,Bronze,2022-03-12,2024-06-19,1667.59,4,416.9,Online,Europe,Canada
C1216,Retail_Customer_1216,Retail,Bronze,2022-12-10,2024-05-10,553.24,3,184.41,Online,Asia Pacific,Australia
C1217,Government_Customer_1217,Government,Bronze,2022-08-06,2024-07-23,4996.36,4,1249.09,Online,North America,USA
C1218,Retail_Customer_1218,Retail,Bronze,2023-06-13,2024-12-22,3894.93,2,1947.46,Corporate,North America,Mexico
C1219,Retail_Customer_1219,Retail,Silver,2022-03-02,2024-06-01,8961.03,6,1493.5,Corporate,Europe,Canada
C1220,SMB_Customer_1220,SMB,Bronze,2022-02-04,2024-08-26,1879.45,5,375.89,Retail Store,North America,Canada
C1221,Retail_Customer_1221,Retail,Bronze,2022-01-04,2024-11-15,2216.0,5,443.2,Retail Store,Europe,Germany
C1222,Enterprise_Customer_1222,Enterprise,Bronze,2022-07-02,2024-09-15,2609.78,5,521.96,Retail Store,North America,Mexico
C1223,SMB_Customer_1223,SMB,Bronze,2023-02-16,2024-08-28,555.46,2,277.73,Corporate,Asia Pacific,Australia
